experiment_id,model,strategy_or_scenario,accuracy,precision_macro,recall_macro,macro_f1
EXP_01,Logistic Regression (L2),TF-IDF (1-2),0.7630057803468208,0.7460831126158872,0.6610744828120365,0.6760946595172754
EXP_02,Linear SVM (LinearSVC),TF-IDF (1-2),0.7578034682080925,0.7070680597548823,0.6797864084975318,0.6878043785060101
EXP_03,SGD Classifier (Log Loss),TF-IDF (1-2),0.7595375722543353,0.7451540076527349,0.6513402446119387,0.6661241995412278
EXP_04,Multinomial Naive Bayes,TF-IDF (1-2),0.7317919075144509,0.7382353373619749,0.6175689229562308,0.6273856987228293
EXP_05,Random Forest (100 Trees),TF-IDF (1-2),0.7445086705202312,0.7604321684192165,0.6144803815430454,0.6222752589378672
EXP_06,Gradient Boosting,TF-IDF (1-2),0.7352601156069364,0.712170968253183,0.6107930958765095,0.6211143124851171
EXP_07,LSTM (Baseline),Word Embedding + LSTM,0.7265895953757225,0.6811508547405486,0.7083648834697275,0.6899887218721723
EXP_08,BiLSTM (Empiris),Word Embedding + BiLSTM,0.7526011560693642,0.6963074587751645,0.6837416343106683,0.6880393982089981
EXP_09,IndoBERTweet-LoRA (Empiris),Transformer + LoRA (r=16),0.7872832369942196,0.742353589490872,0.7291602493390551,0.7344524585699365
EXP_10,"IndoBERTweet-LoRA (Calibrated w=[1,1.5,1])",Transformer + LoRA + Calibration,0.7745664739884393,0.7315201948123912,0.7528401928491824,0.7394129841029145
